NATMON_IND,Indicator,LOCATION,Country,TIME,Time,Value,Flag Codes,Flags
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",GIN,Guinea,2018,2018,28.40408,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",GIN,Guinea,2019,2019,28.02458,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",GIN,Guinea,2020,2020,24.81893,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",MLI,Mali,2016,2016,62.13872,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",MLI,Mali,2017,2017,67.40512,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",MLI,Mali,2018,2018,59.01159,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",PRT,Portugal,2016,2016,99.53352,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",PRT,Portugal,2017,2017,99.65833,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",PRT,Portugal,2018,2018,99.8866,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",PRT,Portugal,2019,2019,99.86188,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",PRT,Portugal,2020,2020,99.78994,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",NER,Niger,2016,2016,63.57047,‡,UIS Estimation
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",NER,Niger,2017,2017,66.48804,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",NER,Niger,2018,2018,59.70885,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",NER,Niger,2019,2019,58.97464,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",NER,Niger,2021,2021,57.74274,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",ECU,Ecuador,2016,2016,81.47587,‡,UIS Estimation
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",ECU,Ecuador,2017,2017,80.98929,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",ECU,Ecuador,2018,2018,80.95721,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",ECU,Ecuador,2019,2019,79.01096,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",ECU,Ecuador,2020,2020,79.35399,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",ECU,Ecuador,2021,2021,79.34175,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",GHA,Ghana,2017,2017,97.82153,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",GHA,Ghana,2018,2018,96.37642,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",GHA,Ghana,2019,2019,99.18355,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",GHA,Ghana,2020,2020,94.0163,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",MEX,Mexico,2016,2016,99.34545,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",MEX,Mexico,2017,2017,99.27124,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",MEX,Mexico,2018,2018,99.30054,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",MEX,Mexico,2019,2019,99.20735,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",MEX,Mexico,2020,2020,99.22365,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",40530,Central and Eastern Europe,2016,2016,95.78647,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",40530,Central and Eastern Europe,2017,2017,96.14052,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",40530,Central and Eastern Europe,2018,2018,96.86194,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",40530,Central and Eastern Europe,2019,2019,97.44307,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",40530,Central and Eastern Europe,2020,2020,97.83433,‡,UIS Estimation
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",PSE,Palestine,2016,2016,92.64562,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",PSE,Palestine,2017,2017,94.62598,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",PSE,Palestine,2018,2018,97.40514,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",PSE,Palestine,2019,2019,97.45111,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",PSE,Palestine,2020,2020,96.94109,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",PSE,Palestine,2021,2021,97.25555,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",LKA,Sri Lanka,2016,2016,99.06007,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",LKA,Sri Lanka,2017,2017,99.28454,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",LKA,Sri Lanka,2018,2018,99.46038,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",40520,Latin America and the Caribbean,2016,2016,78.36314,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",40520,Latin America and the Caribbean,2017,2017,78.40669,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",40520,Latin America and the Caribbean,2018,2018,78.68273,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",40520,Latin America and the Caribbean,2019,2019,79.09637,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",40520,Latin America and the Caribbean,2020,2020,79.11958,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",CMR,Cameroon,2016,2016,63.28337,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",CMR,Cameroon,2017,2017,54.80273,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",CMR,Cameroon,2018,2018,51.03962,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",CMR,Cameroon,2021,2021,51.57475,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",AUT,Austria,2016,2016,91.77928,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",AUT,Austria,2017,2017,91.18931,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",AUT,Austria,2018,2018,90.40722,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",AUT,Austria,2019,2019,90.22392,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",AUT,Austria,2020,2020,90.79535,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",40550,Small Island Developing States,2016,2016,89.9455,‡,UIS Estimation
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",40550,Small Island Developing States,2017,2017,90.70932,‡,UIS Estimation
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",40550,Small Island Developing States,2018,2018,86.56822,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",40550,Small Island Developing States,2019,2019,86.73641,‡,UIS Estimation
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",40550,Small Island Developing States,2020,2020,85.65961,‡,UIS Estimation
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",WSM,Samoa,2016,2016,90.12141,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",WSM,Samoa,2017,2017,87.35727,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",WSM,Samoa,2019,2019,83.77426,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",BDI,Burundi,2017,2017,95.67249,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",BDI,Burundi,2018,2018,93.60911,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",BDI,Burundi,2019,2019,92.42037,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",BDI,Burundi,2020,2020,89.88906,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",KAZ,Kazakhstan,2020,2020,99.98102,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",ATG,Antigua and Barbuda,2016,2016,92.0822,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",ATG,Antigua and Barbuda,2017,2017,97.55055,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",ATG,Antigua and Barbuda,2018,2018,99.3101,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",ATG,Antigua and Barbuda,2019,2019,97.96443,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",BEL,Belgium,2016,2016,97.10636,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",BEL,Belgium,2017,2017,98.61931,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",BEL,Belgium,2018,2018,99.14131,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",BEL,Belgium,2019,2019,99.66746,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",BEL,Belgium,2020,2020,99.44466,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",GEO,Georgia,2016,2016,99.73837,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",GEO,Georgia,2017,2017,99.8015,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",GEO,Georgia,2018,2018,99.82212,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",GEO,Georgia,2019,2019,99.97126,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",GEO,Georgia,2020,2020,98.84303,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",GEO,Georgia,2021,2021,99.16843,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",VNM,Viet Nam,2016,2016,99.17073,‡,UIS Estimation
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",VNM,Viet Nam,2017,2017,99.30023,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",VNM,Viet Nam,2018,2018,99.21763,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",VNM,Viet Nam,2019,2019,98.64954,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",VNM,Viet Nam,2020,2020,98.53144,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",VNM,Viet Nam,2021,2021,97.69921,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",MHL,Marshall Islands,2016,2016,69.04198,‡,UIS Estimation
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",MHL,Marshall Islands,2019,2019,73.74717,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",MHL,Marshall Islands,2020,2020,72.08549,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",MHL,Marshall Islands,2021,2021,69.94802,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",VEN,Venezuela (Bolivarian Republic of),2016,2016,90.28845,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",VEN,Venezuela (Bolivarian Republic of),2017,2017,85.9223,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",CAN,Canada,2016,2016,99.95587,‡,UIS Estimation
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",CAN,Canada,2017,2017,99.8825,‡,UIS Estimation
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",CAN,Canada,2018,2018,99.78809,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",CAN,Canada,2019,2019,99.72097,‡,UIS Estimation
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",CAN,Canada,2020,2020,99.67953,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",EGY,Egypt,2016,2016,95.02201,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",EGY,Egypt,2017,2017,94.87291,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",EGY,Egypt,2018,2018,95.79909,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",EGY,Egypt,2019,2019,97.61313,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",POL,Poland,2016,2016,93.70571,‡,UIS Estimation
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",POL,Poland,2017,2017,94.85757,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",POL,Poland,2018,2018,96.39751,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",POL,Poland,2019,2019,97.68135,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",POL,Poland,2020,2020,97.92367,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",VUT,Vanuatu,2018,2018,50.17746,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",VUT,Vanuatu,2019,2019,51.62347,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",VUT,Vanuatu,2020,2020,44.40875,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",VUT,Vanuatu,2021,2021,54.99247,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",40603,Northern Africa,2016,2016,67.33523,‡,UIS Estimation
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",40603,Northern Africa,2017,2017,68.66593,‡,UIS Estimation
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",40603,Northern Africa,2018,2018,68.77222,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",40603,Northern Africa,2019,2019,69.23308,‡,UIS Estimation
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",40603,Northern Africa,2020,2020,69.62885,‡,UIS Estimation
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",40515,East Asia and the Pacific,2016,2016,91.30383,‡,UIS Estimation
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",40515,East Asia and the Pacific,2017,2017,91.1406,‡,UIS Estimation
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",40515,East Asia and the Pacific,2018,2018,91.10451,‡,UIS Estimation
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",40515,East Asia and the Pacific,2019,2019,90.97952,‡,UIS Estimation
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",40515,East Asia and the Pacific,2020,2020,90.97308,‡,UIS Estimation
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",NZL,New Zealand,2016,2016,97.70728,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",NZL,New Zealand,2017,2017,98.04334,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",NZL,New Zealand,2018,2018,98.83125,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",NZL,New Zealand,2019,2019,99.89994,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",NZL,New Zealand,2020,2020,99.96147,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",NOR,Norway,2016,2016,99.88953,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",NOR,Norway,2017,2017,99.96001,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",NOR,Norway,2018,2018,99.99953,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",NOR,Norway,2019,2019,99.99104,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",NOR,Norway,2020,2020,99.83967,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",CYM,Cayman Islands,2016,2016,75.80879,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",CYM,Cayman Islands,2017,2017,71.06742,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",CYM,Cayman Islands,2018,2018,75.26196,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",CYM,Cayman Islands,2019,2019,69.08041,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",CYM,Cayman Islands,2020,2020,75.92031,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",CYM,Cayman Islands,2021,2021,82.90309,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",BGR,Bulgaria,2016,2016,89.69743,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",BGR,Bulgaria,2017,2017,90.44462,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",BGR,Bulgaria,2018,2018,87.85662,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",BGR,Bulgaria,2019,2019,84.37917,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",BGR,Bulgaria,2020,2020,81.56755,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",DJI,Djibouti,2020,2020,47.52016,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",DJI,Djibouti,2021,2021,47.35193,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",DJI,Djibouti,2022,2022,45.52086,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",BFA,Burkina Faso,2016,2016,51.97983,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",BFA,Burkina Faso,2017,2017,53.03846,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",BFA,Burkina Faso,2018,2018,56.15457,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",BFA,Burkina Faso,2019,2019,53.85436,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",BFA,Burkina Faso,2020,2020,53.29125,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",BFA,Burkina Faso,2021,2021,52.60929,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",LAO,Lao People's Democratic Republic,2016,2016,62.55845,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",LAO,Lao People's Democratic Republic,2017,2017,61.35327,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",LAO,Lao People's Democratic Republic,2018,2018,60.02235,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",LAO,Lao People's Democratic Republic,2019,2019,56.17963,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",LAO,Lao People's Democratic Republic,2020,2020,52.72926,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",LAO,Lao People's Democratic Republic,2021,2021,49.63685,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",GRD,Grenada,2016,2016,99.52429,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",GRD,Grenada,2017,2017,94.05248,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",GRD,Grenada,2018,2018,99.23558,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",JOR,Jordan,2017,2017,49.37294,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",JOR,Jordan,2018,2018,50.80098,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",JOR,Jordan,2019,2019,54.24885,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",JOR,Jordan,2020,2020,56.57587,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",JOR,Jordan,2021,2021,63.10075,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",MRT,Mauritania,2016,2016,35.23492,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",MRT,Mauritania,2017,2017,35.46144,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",MRT,Mauritania,2018,2018,36.12741,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",MRT,Mauritania,2019,2019,39.04289,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",ESP,Spain,2016,2016,93.56269,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",ESP,Spain,2017,2017,96.17385,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",ESP,Spain,2018,2018,98.3443,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",ESP,Spain,2019,2019,99.18258,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",ESP,Spain,2020,2020,99.19111,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",BRN,Brunei Darussalam,2016,2016,99.83532,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",BRN,Brunei Darussalam,2017,2017,99.617,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",BRN,Brunei Darussalam,2018,2018,99.22392,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",BRN,Brunei Darussalam,2019,2019,98.27028,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",BRN,Brunei Darussalam,2020,2020,98.31883,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",DOM,Dominican Republic,2016,2016,95.42067,+,National Estimation
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",DOM,Dominican Republic,2017,2017,94.68683,+,National Estimation
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",DOM,Dominican Republic,2018,2018,94.32686,+,National Estimation
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",DOM,Dominican Republic,2019,2019,96.04641,‡,UIS Estimation
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",DOM,Dominican Republic,2020,2020,95.89012,‡,UIS Estimation
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",DOM,Dominican Republic,2021,2021,89.47315,+,National Estimation
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",CZE,Czechia,2016,2016,98.26203,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",CZE,Czechia,2017,2017,98.25195,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",CZE,Czechia,2018,2018,97.05586,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",CZE,Czechia,2019,2019,95.71505,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",CZE,Czechia,2020,2020,94.9649,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",MUS,Mauritius,2016,2016,93.56617,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",MUS,Mauritius,2017,2017,95.94602,‡,UIS Estimation
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",MUS,Mauritius,2018,2018,95.42868,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",MUS,Mauritius,2019,2019,95.27609,‡,UIS Estimation
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",MUS,Mauritius,2020,2020,96.56039,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",MUS,Mauritius,2021,2021,96.59567,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",MUS,Mauritius,2022,2022,91.3193,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",CPV,Cabo Verde,2016,2016,92.86026,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",CPV,Cabo Verde,2017,2017,93.00531,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",CPV,Cabo Verde,2018,2018,93.55493,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",CPV,Cabo Verde,2019,2019,92.27657,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",RUS,Russian Federation,2016,2016,99.40652,‡,UIS Estimation
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",RUS,Russian Federation,2017,2017,99.867,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",RUS,Russian Federation,2018,2018,99.83623,,
NERT_1_CP,"Total net enrolment rate, primary, both sexes (%)",RUS,Russian Federation,2019,2019,99.92869,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",URY,Uruguay,2016,2016,99.25116,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",URY,Uruguay,2017,2017,99.73866,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",URY,Uruguay,2019,2019,99.16179,,
NERT_2_CP,"Total net enrolment rate, lower secondary, both sexes (%)",URY,Uruguay,2020,2020,98.84077,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",BGD,Bangladesh,2016,2016,54.46435,,
NERT_3_CP,"Total net enrolment rate, upper secondary, both sexes (%)",BGD,Bangladesh,2017,2017,53.24125,,
